site,imt,return_period,family,axis,iml_ref,lo,hi,row_lo,row_hi,range
antofagasta,PGA,475,interface,classification tolerance -5 / +5 km,1.3902837109955062,-0.17768210842320498,1.333908930167671,cls_m5,cls_p5,1.511591038590876
antofagasta,PGA,475,interface,default-depth events to interface,1.3902837109955062,-0.1694956249203461,0.0,cls_fix,cls_fix,0.1694956249203461
antofagasta,PGA,475,interface,"completeness table, ends of the ensemble",1.3902837109955062,-4.323550412274146,1.903881156893994,mc_lo,mc_hi,6.22743156916814
antofagasta,PGA,475,interface,keep 1962 / 1998 events,1.3902837109955062,0.0,0.8072680490932571,keep6298,keep6298,0.8072680490932571
antofagasta,PGA,475,interface,b: fit floor 5.4 / 6.0,1.3902837109955062,-6.146044920063998,4.043312417231815,fit54,fit60,10.189357337295814
antofagasta,PGA,475,interface,MMIN_HAZ 6.5,1.3902837109955062,0.0,0.09985007069670537,mmin65,mmin65,0.09985007069670537
antofagasta,PGA,475,interface,geometry: segmented,1.3902837109955062,-16.116359763109212,0.0,seg,seg,16.116359763109212
antofagasta,PGA,475,interface,rate: geodetic (mid),1.3902837109955062,0.0,2.0946844236499507,geo,geo,2.0946844236499507
antofagasta,PGA,475,interface,MFD: tapered,1.3902837109955062,0.0,2.2060969517249784,tapered,tapered,2.2060969517249784
antofagasta,PGA,475,interface,full 16-branch tree,1.3902837109955062,0.0,2.0280089482084707,tree,tree,2.0280089482084707
antofagasta,PGA,475,interface,rupture scaling: Allen & Hayes,1.3902837109955062,-0.5258259030317181,0.0,msr_ah,msr_ah,0.5258259030317181
antofagasta,PGA,475,interface,rupture aspect ratio 1.5 / 2 / 3,1.3902837109955062,0.0,5.559774093049108,asp15,asp30,5.559774093049108
antofagasta,PGA,475,interface,GMM (single vs tree),1.3902837109955062,-7.816511739726895,14.879100898672014,gmm_ag,gmm_ku,22.69561263839891
antofagasta,PGA,475,intraslab,class domain cut at 50 km,1.3902837109955062,0.0,0.8865720071392191,classmask,classmask,0.8865720071392191
