longitude,latitude,mag,kernel_r_km
-68.917,-19.648,5.4,29.086204725647566
-66.7,-23.43,6.1,40.50090199207763
-68.642,-19.971,5.2,41.47618964143769
-68.34,-29.112,5.6,56.48343686404376
-70.701,-29.456,5.4,55.313254750744825
-68.424,-21.089,5.3,29.343122150159882
-67.326,-28.858,5.3,44.57569134061649
-70.19,-32.86,5.3,40.30480215407911
-69.09,-21.13,6.2,33.88422900181437
-67.13,-19.072,5.2,37.681888612603395
-67.182,-24.008,5.2,35.02450160281849
-67.466,-26.521,5.5,116.39300880030675
-69.19,-23.282,5.7,29.817704185634703
-67.937,-18.365,5.2,90.95323913655227
-70.07,-24.86,5.4,62.074271817693734
-67.6,-22.05,5.7,37.90089845593652
-70.891,-31.684,5.4,47.96746225363406
-67.486,-27.641,5.2,46.273912217004245
-70.453,-17.616,5.3,42.231863039051845
-71.678,-41.85,5.8,186.23142520308295
-70.134,-28.012,5.4,52.95814210728077
-66.65,-24.21,5.4,32.345758991314106
-65.441,-30.875,5.6,138.30552113412037
-66.39,-27.51,5.3,60.05686447127023
-67.8,-21.45,6.1,37.84858250195661
-69.0,-27.655,5.3,48.39263738676924
-70.553,-33.909,5.4,46.13378795623855
-66.002,-22.762,5.6,40.31117367903352
-67.171,-20.809,5.4,37.223270777419245
-68.423,-22.374,5.7,37.81314268450292
-68.86,-24.764,5.6,42.93307918988474
-68.72,-18.35,5.6,68.22826023587146
-70.079,-33.802,5.2,43.46764898652514
-68.368,-21.47,5.4,25.219598480392268
-71.34,-35.89,6.1,42.35901612601483
-69.71,-17.9,5.7,34.441606831715696
-71.526,-34.63,5.2,58.048698049270754
-69.409,-30.15,5.3,64.53979455443938
-68.49,-21.92,5.3,29.310646643912463
-69.3,-19.59,5.5,32.09659452675952
-68.83,-28.66,5.3,42.971569661990216
-70.013,-32.532,5.9,39.372388499299575
-69.305,-22.735,5.2,39.482746793335906
-68.726,-22.911,5.4,34.05541794496267
-69.308,-18.902,5.3,33.08959915611154
-69.33,-18.43,5.3,39.011319690601795
-69.715,-21.595,5.3,53.806267001570504
-68.66,-30.92,5.7,45.54235001681097
-66.74,-24.29,5.4,36.06084526121226
-66.602,-26.348,5.2,149.84722114640928
-68.287,-20.788,5.4,42.022659590068145
-66.6,-19.43,6.5,68.4121720676262
-67.402,-28.132,5.3,34.33869466060388
-69.272,-17.362,5.2,39.521318676143615
-66.543,-27.804,5.3,31.79653529665657
-67.626,-29.132,5.2,54.67076766320078
-69.305,-28.694,5.3,45.05642135599224
-70.664,-35.039,5.2,45.82425445180544
-68.638,-20.132,5.5,37.21600593013358
-69.71,-23.181,5.4,47.283551316035954
-67.639,-24.45,5.2,41.63699121614834
-70.155,-25.683,5.2,51.9637506517374
-71.037,-37.779,5.2,107.74753319532292
-69.995,-24.551,5.6,51.60463000254973
