id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class_raw,sub_depth,class
5754,1979/05/14,-69.013,-22.995,79,5.9,mw,,,,,183,27,-101,16,63,-84,-2.219e+18,-3.61e+17,2.58e+18,-5.66e+17,-1.707e+18,5.58e+17,ISC,,slab_deep,76.9564666748,slab_deep
5753,1979/05/14,-69.32,-23.05,72.4,6.3,mw,0.02,0.03,1,,183,27,-101,16,63,-84,-2.219e+18,-3.61e+17,2.58e+18,-5.66e+17,-1.707e+18,5.58e+17,GCMT,,slab_deep,68.8893508911,slab_deep
5755,1979/05/15,-69.39,-22.9,93.3,5.4,mw,0.07,0.05,5.2,,169,13,-107,6,77,-86,-7.04e+16,1.67e+16,5.37e+16,-1.84e+16,-1.268e+17,-4.9e+15,GCMT,,slab_deep,65.7790679932,slab_deep
5766,1979/05/20,-71.11,-27.32,15,5.9,mw,0.06,0.05,0,,11,13,117,163,79,84,2.679e+17,4.94e+16,-3.173e+17,2.082e+17,-6.646e+17,2.86e+16,GCMT,,slab_interface,22.8866539001,slab_interface
5774,1979/05/22,-69.66,-22.87,83,5.5,mw,0.05,0.08,3.2,,165,40,-117,19,55,-69,-1.658e+17,-3.64e+16,2.023e+17,-5.04e+16,-4.71e+16,1.1e+16,GCMT,,slab_deep,57.0088386536,slab_deep
5782,1979/05/28,-70.262,-24.604,63,6.2,mw,,,,,349,35,-113,196,58,-75,-5.875e+17,-2.69e+17,8.565e+17,1.206e+17,3.216e+17,8.29e+16,USGS,,intra_slab,42.8237113953,intra_slab
5783,1979/05/28,-70.98,-24.56,60,5.9,mw,0.03,0.04,0,,349,35,-113,196,58,-75,-5.875e+17,-2.69e+17,8.565e+17,1.206e+17,3.216e+17,8.29e+16,GCMT,,intra_slab,20.0387477875,intra_slab
5791,1979/06/06,-74.65,-52.93,15,5.6,mw,0.1,0.06,0,,7,8,104,173,82,88,7.86e+16,-6.1e+15,-7.24e+16,3.42e+16,-2.56e+17,-1.2e+15,GCMT,,unclassified,,unclassified
5796,1979/06/17,-69.24,-19.35,126.9,5.7,mw,0.04,0.03,1.8,,199,18,-54,341,76,-101,-1.937e+17,-8.01e+16,2.738e+17,1.387e+17,-3.819e+17,-2.56e+16,GCMT,,slab_deep,89.9588012695,slab_deep
5802,1979/06/27,-68.56,-29.58,141.2,5.6,mw,0.05,0.03,1.8,,284,32,-43,52,69,-115,-1.935e+17,2.083e+17,-1.48e+16,-1.087e+17,-1.797e+17,2.85e+16,GCMT,,slab_deep,88.8986206055,slab_deep
5807,1979/07/06,-71.321,-32.148,45,6.1,mw,,,,,166,39,70,11,54,105,4.916e+17,-2e+15,-4.896e+17,1.19e+17,1.409e+17,1.65e+16,USGS,,slab_interface,46.7920837402,slab_interface
5808,1979/07/06,-71.63,-32.38,49,5.8,mw,0.03,0.03,0,,166,39,70,11,54,105,4.916e+17,-2e+15,-4.896e+17,1.19e+17,1.409e+17,1.65e+16,GCMT,,intra_slab,32.1989631653,intra_slab
5830,1979/08/02,-71.48,-28.01,19,5.5,mw,0.05,0.04,0,,15,28,113,169,65,79,1.488e+17,5.27e+16,-2.015e+17,3.28e+16,-1.353e+17,900000000000000,GCMT,,slab_interface,16.8639850616,slab_interface
