site,domain,level,poe
santiago_centro,Interface,3.0,1.5858043857406303e-05
santiago_penalolen,Interface,0.005,0.26844231367111204
santiago_penalolen,Interface,0.006234021895737255,0.23054226338863373
santiago_penalolen,Interface,0.007772605799306304,0.19502163499593733
santiago_penalolen,Interface,0.009690918947961973,0.16260044127702714
santiago_penalolen,Interface,0.012082680182281997,0.13375937744975092
santiago_penalolen,Interface,0.015064738563107317,0.10872622266411781
santiago_penalolen,Interface,0.01878278201119368,0.08749232605099679
santiago_penalolen,Interface,0.023418454864128246,0.06985572524368763
santiago_penalolen,Interface,0.02919823207746202,0.055474160686135296
santiago_penalolen,Interface,0.036404483617543226,0.043924133218824865
santiago_penalolen,Interface,0.04538926959495454,0.034754467867314814
santiago_penalolen,Interface,0.05659154009729356,0.02752972234040499
santiago_penalolen,Interface,0.07055858001600415,0.021853527519851923
santiago_penalolen,Interface,0.08797274655037983,0.017383040692657233
santiago_penalolen,Interface,0.10968480564464235,0.013834002520889043
santiago_penalolen,Interface,0.13675549600367723,0.010980385979637505
santiago_penalolen,Interface,0.17050735128986647,0.008651657644659281
santiago_penalolen,Interface,0.21258931226503822,0.006727048680186273
santiago_penalolen,Interface,0.2650572854919946,0.005127517972141504
santiago_penalolen,Interface,0.3304745842763549,0.0038046029349789027
santiago_penalolen,Interface,0.412037158872693,0.0027292784675955776
santiago_penalolen,Interface,0.513729734053947,0.001880551080685109
santiago_penalolen,Interface,0.6405204821167169,0.0012369204685091972
santiago_penalolen,Interface,0.7986037420367598,0.0007720210257684812
santiago_penalolen,Interface,0.9957026427749722,0.00045440859743393956
santiago_penalolen,Interface,1.2414464153405262,0.00025026778312167155
santiago_penalolen,Interface,1.547840827123473,0.0001273937083897181
santiago_penalolen,Interface,1.92985472148076,5.8542299011605796e-05
santiago_penalolen,Interface,2.4061513178605933,2.303951513567881e-05
santiago_penalolen,Interface,3.0,6.84489700404356e-06
concepcion,Interface,0.005,0.3967670148611069
concepcion,Interface,0.006234021895737255,0.362337948679924
concepcion,Interface,0.007772605799306304,0.32755660325288777
concepcion,Interface,0.009690918947961973,0.29292432844638827
concepcion,Interface,0.012082680182281997,0.25895853728055956
concepcion,Interface,0.015064738563107317,0.22617577180266382
concepcion,Interface,0.01878278201119368,0.19506733879446983
concepcion,Interface,0.023418454864128246,0.16607313156127929
concepcion,Interface,0.02919823207746202,0.13955573603510857
concepcion,Interface,0.036404483617543226,0.11577833727002144
concepcion,Interface,0.04538926959495454,0.09488719619810582
concepcion,Interface,0.05659154009729356,0.07690306633710861
concepcion,Interface,0.07055858001600415,0.06172910243272782
concepcion,Interface,0.08797274655037983,0.049163525216281416
concepcion,Interface,0.10968480564464235,0.038925355747342114
concepcion,Interface,0.13675549600367723,0.030689757596701388
concepcion,Interface,0.17050735128986647,0.024119451977312568
concepcion,Interface,0.21258931226503822,0.018893326800316572
concepcion,Interface,0.2650572854919946,0.014728422248736023
concepcion,Interface,0.3304745842763549,0.011391178248450162
concepcion,Interface,0.412037158872693,0.008701292159967126
concepcion,Interface,0.513729734053947,0.006528168432414532
concepcion,Interface,0.6405204821167169,0.004779984382912517
concepcion,Interface,0.7986037420367598,0.0033934069355018442
concepcion,Interface,0.9957026427749722,0.0023206886963453143
concepcion,Interface,1.2414464153405262,0.0015193662396632136
concepcion,Interface,1.547840827123473,0.0009464802249567584
concepcion,Interface,1.92985472148076,0.0005573985754745081
concepcion,Interface,2.4061513178605933,0.00030793335186899643
concepcion,Interface,3.0,0.00015781389600306284
pucon,Interface,0.005,0.24391546085476878
pucon,Interface,0.006234021895737255,0.20525504812598233
pucon,Interface,0.007772605799306304,0.17006380811333657
pucon,Interface,0.009690918947961973,0.13892014399170877
pucon,Interface,0.012082680182281997,0.11207233659923077
pucon,Interface,0.015064738563107317,0.08947580702602864
pucon,Interface,0.01878278201119368,0.07085599802434445
pucon,Interface,0.023418454864128246,0.05578312687575818
pucon,Interface,0.02919823207746202,0.04374971855431795
pucon,Interface,0.036404483617543226,0.03423827882856131
pucon,Interface,0.04538926959495454,0.02676468471065164
pucon,Interface,0.05659154009729356,0.020902075879275797
pucon,Interface,0.07055858001600415,0.01629272410646081
